trackingUrn,repostedJob,title,$recipeTypes,posterId,$type,contentSource,entityUrn
urn:li:jobPosting:4110890261,false,Dutch Speaking Customer Support Specialist,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110890261
urn:li:jobPosting:4109630598,false,Junior/Middle Manual QA Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],83997177,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4109630598
urn:li:jobPosting:4103504958,true,Customer Service Representative with English – Remote Bulgaria,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4103504958
urn:li:jobPosting:4028385402,true,Packaging Construction and Design Specialist,[com.linkedin.deco.recipe.anonymous.Anon1578943416],436283888,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4028385402
urn:li:jobPosting:4074485217,true,Strategy and Transaction Services Junior Consultant,[com.linkedin.deco.recipe.anonymous.Anon1578943416],214206,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4074485217
urn:li:jobPosting:4110886587,false,Danish Speaking Customer Support Specialist - Work from Anywhere in Bulgaria,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110886587
urn:li:jobPosting:4062008553,true, Forensic Accountant,[com.linkedin.deco.recipe.anonymous.Anon1578943416],428787455,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4062008553
urn:li:jobPosting:4104120593,false,Sales Consultant,[com.linkedin.deco.recipe.anonymous.Anon1578943416],614136020,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4104120593
urn:li:jobPosting:4110895402,false,Learning and Development Specialist for Supercell Account,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110895402
urn:li:jobPosting:4065472626,true,Business Development Manager,[com.linkedin.deco.recipe.anonymous.Anon1578943416],780648515,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4065472626
urn:li:jobPosting:4110875485,false,Back End Developer Algorithms/Data Structures GoLang | Crypto Exchange Scale up | Salary Range $100000-$130000 Base + Stock Options + Benefits (Fully Remote),[com.linkedin.deco.recipe.anonymous.Anon1578943416],510463353,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110875485
